company_id,nombre,ae_deals,cs_deals
26492390046,#ONO (Open to New Opportunities),—,—
47970954800,#tga (Trend Group America),—,—
42695366048,17K,—,—
46056016983,19six Architects,—,—
46032211853,2talk,—,—
42614261535,3C Hotels,—,—
46038844323,"3dB Labs, Inc.",—,—
38957803337,3g Office,—,—
40239526297,3HTP Cloud Services,—,—
23221996716,3M,—,—
38995665824,3xi,—,—
49586450527,4BD,—,—
34097757823,4life Seguros,—,—
31797655913,"A-Mark Precious Metals, Inc",—,—
22162514828,A.P. Moller - Maersk,—,—
49595925658,AA Exchange Company (Pvt.) Ltd.,—,—
36772796069,AAA Auto Club Enterprises,—,—
40383701562,AB SAMI Servicios Integrados,—,—
26421081785,Abarrotera del Duero S.A. de C.V.,—,—
49480057273,Abastecimiento Clínico SpA,—,—
22162656648,ABB,—,—
47971112462,ABB E-mobility,—,—
26416432669,AbbVie,—,—
45890183599,ABC Fitness,—,—
10247770923,ABCDIN,—,—
45902375723,Abdullah A. Al-Barrak & Son Co.,—,—
40352666725,ABDULSAMAD AL QURASHI LIMITED,—,—
28864000538,Abercrombie & Kent Latin America,—,—
49589120940,Abergeldie Complex Infrastructure,—,—
22127942807,Abertis,—,—
40330753959,"ABESS - Associação Brasileira de Educação, Saúde e Assistência Social",—,—
49506722098,Abingraf,—,—
42694128671,ABK,—,—
31529667700,Abogada,—,—
31802844220,Aboitiz InfraCapital,—,—
38965113706,Abrams Group LLC,—,—
31821953366,ACA,—,—
31888645794,Academia Nacional de Estudios Políticos y Estratégicos,—,—
31787817098,ACCA,—,—
42743210655,Acca,—,—
22162851447,Accenture,—,—
22108503616,Accenture Chile,—,—
21963632776,ACCIONA Energía,—,—
9827263316,AccorHotels,—,—
42704400458,Accounting and Finance,—,—
38980593968,Accounting Professional,—,—
40329363483,Accuray,—,—
31808121162,ACEROFERTAS,—,—
14795117136,ACF Capital S.A:,—,—
20201405298,Achs Servicios,—,—
37016980268,ACHS Web,—,—
31409627759,Acid Labs,—,—
40383701567,"Ackerman Plumbing, LLC",—,—
19812775428,acrlegal.cl,—,—
42787551842,ACT Health,—,—
31801217452,Actemium Brasil,—,—
42805585938,Actuaría para no Actuarios,—,—
31789508528,Acuren,—,—
40420105578,Adani Enterprises Limited,—,—
40330290871,Adb LLC,—,—
22726750072,Addval,—,—
22598920764,Adecco,—,—
19073705353,Adelco,—,—
31802726747,ADGM,—,—
22162780171,adidas,—,—
22162664998,Adidas,—,—
48327590035,ADILAC,—,—
42705484293,Aditya Birla Group,—,—
38991754784,Administracion,—,—
46002058387,Administración Gubernamental de Ingresos Públicos,—,—
31821796262,ADNH Catering,—,—
33116651282,ADS Tigre Brasil,—,—
25851141414,Advanced Energy,—,—
42701250645,Advanced Research Projects Agency-Energy (ARPA-E),—,—
45889565609,Advisory+,—,—
31821434674,Advocacia Sena Rei,—,—
40329979781,Advoost,—,—
49638786128,Aeglea BioTherapeutics,—,—
31780289381,AENZA,—,—
26614243968,Aerotech Chile,—,—
19633966980,AFC Chile,—,—
31819441298,AFCONS Infrastructure Limited - A Shapoorji Pallonji Group Company,—,—
44676530241,Affordable Wire Management,—,—
25813133492,AFIN Suministros,—,—
31821120938,Afonso França Engenharia,—,—
17081488303,AFP Cuprum,—,—
17081478949,AFP Habitat,—,—
42719791107,Agencia Big Data,—,—
25149628975,Agencia de Aduanas Espinosa Y Cía. Ltda.,—,—
20201628183,AgenciaSE,—,—
45886174987,Aggne,—,—
25976677560,Aggreko,—,—
40328431996,Agil Energy,—,—
47883715594,Agiloft,—,—
40341412501,Agios Pharmaceuticals,—,—
21703965953,AGQ Labs,—,—
40349937211,AGreen Company,—,—
9826923795,Agricola Montolin Ltda.,—,—
9826788963,Agricovial S A,—,—
29001859881,AgroAdvance,—,—
9034600293,Agrocomercial Quillota S A,—,—
26488709809,AgroFresh,—,—
21541956437,Agrospec S.A.,—,—
19599829851,AGROVET CHILE,—,—
10105264055,Agrícola Randu,—,—
40383701563,Aguas CAP,—,—
20201773625,Aguas del Altiplano,—,—
10105802312,AGUNSA,—,—
35358790251,AHD Auditores y Consultores,—,—
10105567755,AHK,—,—
31807676749,Ahli United Bank,—,—
19069186157,ahumada.cl,—,—
42718091115,AIA Engineering Ltd,—,—
26322519299,AIG,—,—
21687063907,Air Products Indura Argentina,—,—
22855494036,Airbus,—,—
47971615028,AirSculpt Technologies,—,—
28864000540,Aitue,—,—
40418282586,AJA Video Systems,—,—
38952791100,Ajax Tocco de Mexico S.A. de C.V.,—,—
26421081859,Ajax Tocco Magnethermic Corp,—,—
31769307825,AJIL Financial Services Company,—,—
31787081088,AJS Indústria e Serviços,—,—
19274144522,AKD International,—,—
49568495021,Akkök Holding,—,—
45900512865,AKLOE,—,—
42787397789,AKU,—,—
49568804665,"Akumen, Inc.",—,—
40400930056,Al Habtoor Group,—,—
47973759656,Al Hamra,—,—
38962131098,Al Khayyat Investments (AKI),—,—
40375805817,Al Manazel Integrated Co. L.L.C,—,—
31819451915,Al Tayer Stocks - Building & Interior Divisions,—,—
38960899247,"Al-Mardoof Contracting Company ""MCC""",—,—
38952791101,Al-Qadsiah Saudi Club نادي القادسية السعودي,—,—
46055707731,Alcaldia Municipal,—,—
43061645700,ALCOP,—,—
31801493367,ALDAR FOR EXCHANGE WORKS,—,—
38995665809,Aldar International For Governance Consultancy,—,—
42697070104,Ale Service Center,—,—
46052527526,Alef Group,—,—
32390194204,Alessandri Abogados,—,—
45910830629,Aletek,—,—
31819615605,Alfa Engenharia e Montagens Industriais,—,—
9827197321,Alfachilena,—,—
45227565628,Alfaplas,—,—
23819784986,Alianza Seguridad Ltda.,—,—
9826788980,Alifrut S.A.,—,—
49582115639,Aligned Data Centers,—,—
